t1_i1,t1_i2,t1_i3,t1_i4,t1_i5,t2_i1,t2_i2,t2_i3,t2_i4,t2_i5,t3_i1,t3_i2,t3_i3,t3_i4,t3_i5,t4_i1,t4_i2,t4_i3,t4_i4,t4_i5,t5_i1,t5_i2,t5_i3,t5_i4,t5_i5,label
0.0,0.0322,0.0713,0.4874,0.9155,0.0278,0.1466,0.5418,0.9603,0.5485,0.1242,0.5507,0.9551,0.5836,0.1002,0.5599,0.9708,0.5613,0.1691,0.0337,0.9472,0.521,0.1197,0.0326,0.0,rl
0.961,0.5611,0.1024,0.0801,0.0837,0.5167,0.9138,0.5481,0.2342,0.1007,0.1316,0.5081,0.8593,0.5611,0.1331,0.0765,0.1792,0.5025,0.8782,0.4633,0.037,0.0591,0.1675,0.5696,0.8878,lr
0.6769,0.256,0.0341,0.0349,0.0,0.3795,0.6285,0.2836,0.0487,0.0248,0.0356,0.2485,0.6932,0.2942,0.0345,0.0157,0.01,0.3159,0.7886,0.2801,0.0253,0.07,0.0788,0.3702,0.7403,lr
0.837,0.4954,0.068,0.0442,0.0,0.523,0.8585,0.5719,0.1213,0.0843,0.0658,0.4877,0.8697,0.5531,0.0526,0.0711,0.1322,0.5456,0.8833,0.4938,0.014,0.0,0.1183,0.4853,0.9291,lr
0.8919,0.5819,0.1629,0.0081,0.0536,0.5446,0.8571,0.5673,0.1401,0.0168,0.1599,0.5685,0.8888,0.5654,0.1772,0.0179,0.155,0.5515,0.9883,0.4862,0.0598,0.0322,0.1381,0.618,0.9087,lr
0.0189,0.002,0.1139,0.4754,0.7517,0.0658,0.1267,0.4335,0.7069,0.4333,0.166,0.3929,0.7224,0.4896,0.1967,0.4763,0.7691,0.4598,0.1174,0.0218,0.7875,0.5086,0.1605,0.162,0.0341,rl
0.1072,0.012,0.082,0.301,0.8087,0.0968,0.0437,0.278,0.8232,0.32,0.122,0.3273,0.7566,0.3733,0.075,0.3171,0.7848,0.3352,0.0312,0.0322,0.7284,0.29,0.0719,0.0889,0.0377,rl
0.9508,0.5469,0.168,0.0988,0.0291,0.5541,0.8897,0.5694,0.1108,0.0344,0.1572,0.6364,0.9435,0.6081,0.1301,0.0622,0.1151,0.5828,0.9251,0.545,0.0977,0.0586,0.0884,0.5912,0.8962,lr
0.0521,0.0066,0.0625,0.3596,1.0,0.0852,0.0637,0.4154,0.9975,0.3432,0.069,0.4174,0.9354,0.4081,0.0732,0.4063,0.8923,0.4286,0.0451,0.0,0.9431,0.3692,0.0775,0.0629,0.0545,rl
0.9304,0.4879,0.1379,0.0,0.0699,0.5167,0.8739,0.5469,0.1506,0.0393,0.1058,0.5349,0.8413,0.499,0.1072,0.063,0.1366,0.5119,0.934,0.5186,0.0462,0.0182,0.1545,0.5291,0.9451,lr
0.0313,0.0758,0.0589,0.3837,0.7903,0.0969,0.1146,0.3991,0.8408,0.3848,0.0964,0.4096,0.8638,0.3999,0.0889,0.3667,0.8344,0.3828,0.1132,0.005,0.8469,0.3567,0.074,0.1086,0.0243,rl
0.7311,0.3111,0.1213,0.0387,0.0475,0.3357,0.7099,0.3648,0.0935,0.0859,0.1175,0.3855,0.7142,0.3476,0.1063,0.083,0.1203,0.4148,0.7641,0.3856,0.0406,0.046,0.0745,0.3649,0.7186,lr
0.7796,0.4039,0.0529,0.0481,0.0,0.4013,0.7914,0.4447,0.0923,0.0797,0.087,0.3656,0.7275,0.3675,0.0392,0.0694,0.0797,0.4214,0.7795,0.438,0.0833,0.0247,0.0774,0.3828,0.7202,lr
0.9584,0.3885,0.0774,0.0526,0.0613,0.4209,0.9111,0.3859,0.081,0.0,0.0535,0.3934,0.9228,0.4108,0.0878,0.1006,0.0622,0.469,0.8762,0.4329,0.0,0.0738,0.0517,0.4733,0.9152,lr
0.056,0.0,0.0356,0.3323,0.7782,0.0,0.0544,0.3648,0.7495,0.3193,0.0646,0.3312,0.7794,0.3251,0.0542,0.2952,0.7498,0.3664,0.0417,0.0239,0.7386,0.3501,0.0189,0.0616,0.0,rl
0.1138,0.0631,0.0244,0.4461,0.8093,0.0447,0.0808,0.4286,0.8471,0.4734,0.0517,0.5425,0.8642,0.4774,0.0402,0.3987,0.8269,0.4791,0.0527,0.0482,0.8883,0.3553,0.0721,0.0825,0.0,rl
0.7302,0.4822,0.131,0.0539,0.0496,0.5314,0.7674,0.469,0.1322,0.0539,0.2028,0.4819,0.7299,0.4627,0.075,0.0591,0.1007,0.45,0.6976,0.454,0.0572,0.0016,0.0871,0.4994,0.7548,lr
0.8278,0.4035,0.0981,0.053,0.0965,0.3855,0.8307,0.3929,0.1445,0.0511,0.1793,0.436,0.8505,0.3896,0.1059,0.0299,0.1804,0.3841,0.9151,0.4699,0.067,0.0363,0.0878,0.4315,0.9219,lr
0.1049,0.1128,0.0635,0.4899,1.0,0.0,0.1532,0.4352,0.9588,0.494,0.1404,0.3896,0.8948,0.4802,0.1129,0.4688,0.9542,0.4585,0.0975,0.0324,0.9704,0.5204,0.1617,0.0391,0.0495,rl
0.9376,0.4872,0.1586,0.0508,0.0195,0.5397,1.0,0.4184,0.1155,0.0594,0.175,0.4686,0.967,0.4623,0.077,0.049,0.0636,0.4581,0.9311,0.4418,0.0181,0.0553,0.09,0.4512,1.0,lr
0.0434,0.027,0.1518,0.4819,0.7876,0.0411,0.1788,0.4156,0.7424,0.515,0.0594,0.457,0.7446,0.4179,0.1897,0.5092,0.8031,0.5203,0.1582,0.0055,0.836,0.4382,0.1336,0.0173,0.0452,rl
0.8716,0.3912,0.0876,0.0937,0.0644,0.3659,0.9319,0.3808,0.0327,0.0847,0.1156,0.4286,0.9095,0.3708,0.07,0.0395,0.0771,0.3552,0.9015,0.421,0.0453,0.0419,0.0863,0.3647,0.9185,lr
0.0381,0.0629,0.1936,0.5751,0.8509,0.0245,0.2079,0.5112,0.9269,0.543,0.1427,0.5893,0.8923,0.6022,0.1728,0.5689,0.8993,0.5247,0.1737,0.0291,0.9042,0.4891,0.2339,0.0644,0.0292,rl
0.0354,0.0807,0.1404,0.5522,0.8463,0.1017,0.138,0.5457,0.7665,0.4984,0.1826,0.504,0.8147,0.4915,0.1413,0.5169,0.8358,0.5145,0.1469,0.0812,0.8179,0.4723,0.1091,0.1146,0.0068,rl
0.0,0.0247,0.021,0.4117,0.8586,0.0,0.0557,0.3855,0.8471,0.4109,0.0573,0.3149,0.8583,0.42,0.0,0.3681,0.834,0.3278,0.0941,0.0087,0.7993,0.3291,0.0864,0.0,0.0368,rl
0.0727,0.0848,0.0691,0.4796,0.8914,0.0585,0.084,0.4857,0.8851,0.4825,0.0535,0.4296,0.904,0.455,0.1476,0.4948,0.8998,0.5201,0.0617,0.0,0.9338,0.4428,0.0871,0.0518,0.0066,rl
0.0,0.0833,0.1632,0.5849,0.9497,0.0885,0.1485,0.4968,0.9341,0.5923,0.0955,0.5878,0.9181,0.5977,0.1274,0.6167,0.8741,0.5735,0.1168,0.0915,0.8499,0.5727,0.0828,0.0949,0.0621,rl
0.83,0.4776,0.0822,0.0689,0.0441,0.4145,0.884,0.4458,0.0641,0.117,0.1364,0.4316,0.8108,0.4168,0.0679,0.0792,0.0847,0.3363,0.8663,0.4212,0.0999,0.0581,0.1023,0.4536,0.8474,lr
1.0,0.4703,0.112,0.0076,0.0549,0.4376,0.9536,0.5201,0.0787,0.0325,0.0745,0.4193,0.9829,0.4565,0.0826,0.117,0.0313,0.439,0.9519,0.4531,0.043,0.0794,0.1199,0.4668,0.9792,lr
